Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P7_i5,PLAN,1,286,393,198,30,50,57,227,38.1
Baxter,P7_i5,PLAN,2,282,393,193,20,46,36,165,38.1
Baxter,P7_i5,PLAN,3,283,415,195,24,51,42,209,40.1
Baxter,P7_i5,PLAN,5,283,467,195,25,50,34,197,45.1
Baxter,P7_i5,PLAN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i5,DOMAIN,0.1,303,681,215,34,61,62,352,33.1
Baxter,P7_i5,DOMAIN,1,295,384,209,35,59,62,352,33.1
Baxter,P7_i5,DOMAIN,2,303,420,211,33,61,111,314,38.1
Baxter,P7_i5,DOMAIN,3,355,436,268,69,121,583,1135,40.1
Baxter,P7_i5,DOMAIN,5,TO,-,-,-,-,-,-,-
Baxter,P7_i5,DOMAIN,10,TO,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,SIMU,0.1,TO,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,SIMU,1,283,15,187,30,64,2364,3799,10
Descent,prob_earth01.pddl,SIMU,2,1610,24,1531,803,1421,274887,433810,30
Descent,prob_earth01.pddl,SIMU,3,233,10,147,19,36,703,1124,15
Descent,prob_earth01.pddl,SIMU,5,UNSAT,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,SIMU,10,UNSAT,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,PLAN,0.1,TO,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,PLAN,1,304,105,206,19,82,2753,4430,10
Descent,prob_earth01.pddl,PLAN,2,324,167,237,38,122,4251,6770,16
Descent,prob_earth01.pddl,PLAN,3,349,305,260,31,142,4672,7235,30
Descent,prob_earth01.pddl,PLAN,5,UNSAT,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,PLAN,10,UNSAT,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,DOMAIN,0.1,375,205,287,64,175,7041,11498,10
Descent,prob_earth01.pddl,DOMAIN,1,359,115,272,45,161,7041,11498,10
Descent,prob_earth01.pddl,DOMAIN,2,909,280,822,237,708,61789,84207,26
Descent,prob_earth01.pddl,DOMAIN,3,249,160,165,15,51,1016,1333,15
Descent,prob_earth01.pddl,DOMAIN,5,,-,-,-,-,-,-,-
Descent,prob_earth01.pddl,DOMAIN,10,,-,-,-,-,-,-,-
Descent,prob_earth02.pddl,SIMU,0.1,TO,-,-,-,-,-,-,-
